player,squad,league,season,tackles,interceptions,blocks,clearances,progressive_passes,progressive_carries,progressive_passes_received,take_ons_won,miscontrols,fouls,cards_yellow,cards_red
Eliesse Ben Seghir,Monaco,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Eliezer Mayenda,Sunderland,Premier League,2025-2026,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0
Elif Elmas,Napoli,Serie A,2025-2026,13,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3,0
Elisha Owusu,Auxerre,Ligue 1,2025-2026,51,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,7,0
Elliot Anderson,Nottingham Forest,Premier League,2025-2026,59,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,8,0
Ellyes Skhiri,Eintracht Frankfurt,Bundesliga,2025-2026,8,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3,1
Elseid Hysaj,Lazio,Serie A,2025-2026,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Elvis Rexhbeçaj,Augsburg,Bundesliga,2025-2026,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,4,0
Elye Wahi,Eintracht Frankfurt,Bundesliga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
Elye Wahi,Nice,Ligue 1,2025-2026,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,5,0
Emanuel Emegha,Strasbourg,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3,0
Emanuele Valeri,Parma,Serie A,2025-2026,31,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,2,0
Emerson Palmieri,Marseille,Ligue 1,2025-2026,32,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,0
Emersonn,Toulouse,Ligue 1,2025-2026,8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,5,1
Emi Buendía,Aston Villa,Premier League,2025-2026,22,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,6,0
Emil Audero,Cremonese,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Emil Holm,Bologna,Serie A,2025-2026,13,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3,1
Emil Holm,Juventus,Serie A,2025-2026,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Emil Krafth,Newcastle United,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Emile Smith Rowe,Fulham,Premier League,2025-2026,20,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,0
Emiliano Martínez,Aston Villa,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
Emir Sahiti,Hamburger SV,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Emirhan İlkhan,Torino,Serie A,2025-2026,18,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2,1
Emmanuel Agbadou,Wolves,Premier League,2025-2026,21,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,1
Emmanuel Biumla,Angers,Ligue 1,2025-2026,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0
Emmanuel Lago,Marseille,Ligue 1,2025-2026,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
Emre Can,Dortmund,Bundesliga,2025-2026,8,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3,0
Endrick,Lyon,Ligue 1,2025-2026,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4,1
Endrick,Real Madrid,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
Enes Ünal,Bournemouth,Premier League,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,0
Enrico Del Prato,Parma,Serie A,2025-2026,21,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,5,0
Enzo Boyomo,Osasuna,La Liga,2025-2026,35,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,6,0
Enzo Ebosse,Hellas Verona,Serie A,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0
Enzo Ebosse,Torino,Serie A,2025-2026,6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2,0
Enzo Fernández,Chelsea,Premier League,2025-2026,23,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,9,0
Enzo Koffi Vinette,Le Havre,Ligue 1,2025-2026,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,0
Enzo Le Fée,Sunderland,Premier League,2025-2026,54,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,5,0
Enzo Molebe,Lyon,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Erawan Garnier,Lens,Ligue 1,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Eray Cömert,Valencia,La Liga,2025-2026,14,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3,1
Erblin Osmani,Bayern Munich,Bundesliga,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Eren Dinkçi,Freiburg,Bundesliga,2025-2026,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
Eren Dinkçi,Heidenheim,Bundesliga,2025-2026,13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3,0
Eric Bailly,Oviedo,La Liga,2025-2026,10,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3,0
Eric Dier,Monaco,Ligue 1,2025-2026,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0
Eric García,Barcelona,La Liga,2025-2026,43,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,6,0
Eric Martel,Köln,Bundesliga,2025-2026,32,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,12,1
Eric Smith,St Pauli,Bundesliga,2025-2026,23,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,4,1
Erling Haaland,Manchester City,Premier League,2025-2026,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,2,0
Ermedin Demirović,Stuttgart,Bundesliga,2025-2026,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,5,0
Ernest Nuamah,Lyon,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ernest Poku,Leverkusen,Bundesliga,2025-2026,9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0
Esteban Lepaul,Angers,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Esteban Lepaul,Rennes,Ligue 1,2025-2026,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3,0
Estêvão Willian,Chelsea,Premier League,2025-2026,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,4,0
Ethan Ampadu,Leeds United,Premier League,2025-2026,46,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,9,0
Ethan Mbappé,Lille,Ligue 1,2025-2026,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,0
Ethan Nwaneri,Arsenal,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Ethan Nwaneri,Marseille,Ligue 1,2025-2026,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0
Ethan Pinnock,Brentford,Premier League,2025-2026,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
Etienne Youte Kinkoue,Le Havre,Ligue 1,2025-2026,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0
Evan Ferguson,Roma,Serie A,2025-2026,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0
Evanilson,Bournemouth,Premier League,2025-2026,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2,0
Evann Guessand,Aston Villa,Premier League,2025-2026,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0
Evann Guessand,Crystal Palace,Premier League,2025-2026,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0
Everton Pereira,Nice,Ligue 1,2025-2026,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0
Exequiel Palacios,Leverkusen,Bundesliga,2025-2026,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,0
Ezechiel Banzuzi,RB Leipzig,Bundesliga,2025-2026,10,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3,0
Ezequiel Ávila,Real Betis,La Liga,2025-2026,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,0
Ezequiél Fernández,Leverkusen,Bundesliga,2025-2026,17,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4,1
Ezra Mayers,West Ham United,Premier League,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Ezri Konsa,Aston Villa,Premier League,2025-2026,8,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,1
Fabian Rieder,Augsburg,Bundesliga,2025-2026,20,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,4,0
Fabian Rieder,Rennes,Ligue 1,2025-2026,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Fabian Schär,Newcastle United,Premier League,2025-2026,9,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1,0
Fabiano Parisi,Fiorentina,Serie A,2025-2026,14,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,6,0
Fabien Centonze,Nantes,Ligue 1,2025-2026,18,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,4,0
Fabio Baldé,Hamburger SV,Bundesliga,2025-2026,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0
Fabio Carvalho,Brentford,Premier League,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Fabio Chiarodia,Gladbach,Bundesliga,2025-2026,9,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0
Fabio Miretti,Juventus,Serie A,2025-2026,9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,0
Fabio Moreno Fell,Mainz 05,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Fabio Vieira,Hamburger SV,Bundesliga,2025-2026,9,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,4,2
Fabián Ruiz Peña,Paris Saint-Germain,Ligue 1,2025-2026,11,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0
Facundo Buonanotte,Chelsea,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Facundo Buonanotte,Leeds United,Premier League,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
Facundo Garcés,Alavés,La Liga,2025-2026,8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3,0
Facundo Medina,Marseille,Ligue 1,2025-2026,16,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,7,0
Fali Candé,Sassuolo,Serie A,2025-2026,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,0
Fallou Cham,Hellas Verona,Serie A,2025-2026,9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0
Fares Chaïbi,Eintracht Frankfurt,Bundesliga,2025-2026,21,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,0
Faris Pemi Moumbagna,Cremonese,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Faustino Anjorin,Torino,Serie A,2025-2026,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0
Federico Baschirotto,Cremonese,Serie A,2025-2026,13,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,2,0
Federico Bernardeschi,Bologna,Serie A,2025-2026,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3,0
Federico Bonazzoli,Cremonese,Serie A,2025-2026,16,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,4,0
Federico Ceccherini,Cremonese,Serie A,2025-2026,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,1
Federico Chiesa,Liverpool,Premier League,2025-2026,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3,0
Federico Dimarco,Inter,Serie A,2025-2026,31,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,3,0
Federico Gatti,Juventus,Serie A,2025-2026,9,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,0
Federico Gattoni,Sevilla,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Federico Ravaglia,Bologna,Serie A,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0
Federico Redondo,Elche,La Liga,2025-2026,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,1
Federico Valverde,Real Madrid,La Liga,2025-2026,25,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3,1
Federico Viñas,Oviedo,La Liga,2025-2026,32,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,7,3
Felipe Chávez,Bayern Munich,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Felipe Chávez,Köln,Bundesliga,2025-2026,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Felipe Loyola,Pisa,Serie A,2025-2026,7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,1
Felix Agu,Werder Bremen,Bundesliga,2025-2026,14,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0
Felix Mambimbi,Le Havre,Ligue 1,2025-2026,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1,0
Felix Nmecha,Dortmund,Bundesliga,2025-2026,23,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,0
Fer López,Celta Vigo,La Liga,2025-2026,8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,3,0
Fer López,Wolves,Premier League,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,0
Ferdi Kadioglu,Brighton,Premier League,2025-2026,38,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,6,0
Ferland Mendy,Real Madrid,La Liga,2025-2026,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Fermin López,Barcelona,La Liga,2025-2026,22,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,3,0
Fernando Calero,Espanyol,La Liga,2025-2026,16,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,5,0
Ferran Jutglà,Celta Vigo,La Liga,2025-2026,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,4,0
Ferrán Torres,Barcelona,La Liga,2025-2026,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,0
Fikayo Tomori,Milan,Serie A,2025-2026,40,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,8,1
Filip Jørgensen,Chelsea,Premier League,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Filip Kostić,Juventus,Serie A,2025-2026,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0
Filip Stojilković,Pisa,Serie A,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0
Filip Ugrinic,Valencia,La Liga,2025-2026,16,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,0
Filippo Mane,Dortmund,Bundesliga,2025-2026,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
Filippo Rinaldi,Parma,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
Filippo Romagna,Sassuolo,Serie A,2025-2026,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Filippo Terracciano,Cremonese,Serie A,2025-2026,23,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,6,0
Finley Stevens,St Pauli,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Finn Dahmen,Augsburg,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
Finn Jeltsch,Stuttgart,Bundesliga,2025-2026,14,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3,0
Fisayo Dele-Bashiru,Lazio,Serie A,2025-2026,14,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0
Fisnik Asllani,Hoffenheim,Bundesliga,2025-2026,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,2,0
Florent Hanin,Angers,Ligue 1,2025-2026,8,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0
Florentino Luís,Burnley,Premier League,2025-2026,43,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,6,0
Florian Kainz,Köln,Bundesliga,2025-2026,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0
Florian Lejeune,Rayo Vallecano,La Liga,2025-2026,47,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,7,0
Florian Neuhaus,Gladbach,Bundesliga,2025-2026,7,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0
Florian Sotoca,Lens,Ligue 1,2025-2026,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,0
Florian Thauvin,Lens,Ligue 1,2025-2026,17,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6,0
Florian Wirtz,Liverpool,Premier League,2025-2026,25,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,1,0
Fodé Ballo-Touré,Metz,Ligue 1,2025-2026,16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,0
Fodé Doucouré,Le Havre,Ligue 1,2025-2026,26,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,0
Fodé Sylla,Lens,Ligue 1,2025-2026,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Folarin Balogun,Monaco,Ligue 1,2025-2026,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,4,1
Formose Mendy,Lorient,Ligue 1,2025-2026,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
Fran Beltrán,Celta Vigo,La Liga,2025-2026,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0
Fran Beltrán,Girona,La Liga,2025-2026,12,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3,0
Fran Garcia,Real Madrid,La Liga,2025-2026,12,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,1
Francesco Acerbi,Inter,Serie A,2025-2026,9,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3,0
Francesco Camarda,Lecce,Serie A,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,0
Francesco Coppola,Pisa,Serie A,2025-2026,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,0
Francesco Esposito,Inter,Serie A,2025-2026,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1,0
Francesco Folino,Cremonese,Serie A,2025-2026,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0
Francis Abu,Toulouse,Ligue 1,2025-2026,12,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0
Francis Coquelin,Nantes,Ligue 1,2025-2026,13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,0
Francisco Conceição,Juventus,Serie A,2025-2026,26,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,3,0
Francisco Perez,Rayo Vallecano,La Liga,2025-2026,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,4,0
Francisco Sierralta,Auxerre,Ligue 1,2025-2026,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0
Franck Honorat,Gladbach,Bundesliga,2025-2026,13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0
Franco Carboni,Parma,Serie A,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Franco Israel,Torino,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
Franco Mastantuono,Real Madrid,La Liga,2025-2026,12,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,1
Franco Vázquez,Cremonese,Serie A,2025-2026,12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,0
Frank Feller,Heidenheim,Bundesliga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Frank Magri,Toulouse,Ligue 1,2025-2026,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,3,0
Frank Onyeka,Brentford,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Freddie Potts,West Ham United,Premier League,2025-2026,18,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1,0
Freddie Woodman,Liverpool,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Frederic Guilbert,Nantes,Ligue 1,2025-2026,12,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,0
Frederik Rønnow,Union Berlin,Bundesliga,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
Fredrik Oppegard,Auxerre,Ligue 1,2025-2026,20,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,1
Frenkie de Jong,Barcelona,La Liga,2025-2026,19,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,1
Fynn Schenten,Köln,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Fábio Cardoso,Sevilla,La Liga,2025-2026,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0
Fábio Silva,Dortmund,Bundesliga,2025-2026,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,3,0
Félix Correia,Lille,Ligue 1,2025-2026,13,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,0
Félix Lemaréchal,Strasbourg,Ligue 1,2025-2026,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,0
Gabin Bernardeau,Nice,Ligue 1,2025-2026,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Gabriel Gudmundsson,Leeds United,Premier League,2025-2026,47,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,6,1
Gabriel Jesus,Arsenal,Premier League,2025-2026,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,0
Gabriel Magalhães,Arsenal,Premier League,2025-2026,20,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,4,0
Gabriel Martinelli,Arsenal,Premier League,2025-2026,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3,0
Gabriel Osho,Auxerre,Ligue 1,2025-2026,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Gabriel Strefezza,Parma,Serie A,2025-2026,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3,0
Gabriel Suazo,Sevilla,La Liga,2025-2026,61,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,7,0
Gabriele Piccinini,Pisa,Serie A,2025-2026,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2,0
Gabriele Zappa,Cagliari,Serie A,2025-2026,17,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,0
Gaby Jean,Lecce,Serie A,2025-2026,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
Gaetano Oristanio,Parma,Serie A,2025-2026,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,0
Gauthier Hein,Metz,Ligue 1,2025-2026,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,1
Gautier Lloris,Le Havre,Ligue 1,2025-2026,24,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2,1
Gavi,Barcelona,La Liga,2025-2026,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3,0
Gaëtan Perrin,Lille,Ligue 1,2025-2026,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0
Gennaro Borrelli,Cagliari,Serie A,2025-2026,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,4,0
Geoffrey Kondogbia,Marseille,Ligue 1,2025-2026,9,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3,0
George Earthy,West Ham United,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
George Hemmings,Aston Villa,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
George Ilenikhena,Monaco,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Georges Gomis,Le Havre,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Georges Mikautadze,Lyon,Ligue 1,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Georges Mikautadze,Villarreal,La Liga,2025-2026,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,0
Georginio Rutter,Brighton,Premier League,2025-2026,19,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,2,0
Gerard Gumbau,Rayo Vallecano,La Liga,2025-2026,16,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,4,0
Gerard Martín,Barcelona,La Liga,2025-2026,26,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,6,0
Gerard Moreno,Villarreal,La Liga,2025-2026,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0
Germán Valera,Elche,La Liga,2025-2026,39,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,3,1
Gerónimo Rulli,Marseille,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0
Gessime Yassine,Strasbourg,Ligue 1,2025-2026,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0
Giacomo Raspadori,Atalanta,Serie A,2025-2026,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0
Giacomo Raspadori,Atlético Madrid,La Liga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0
Gianluca Gaetano,Cagliari,Serie A,2025-2026,15,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,4,0
Gianluca Mancini,Roma,Serie A,2025-2026,27,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,9,0
Gianluca Scamacca,Atalanta,Serie A,2025-2026,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,2,0
