player,squad,league,season,tackles,interceptions,blocks,clearances,progressive_passes,progressive_carries,progressive_passes_received,take_ons_won,miscontrols,fouls,cards_yellow,cards_red
Casemiro,Manchester Utd,Premier League,2025-2026,45,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,11,1
Cassiano Kiala,Bayern Munich,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Castello Lukeba,RB Leipzig,Bundesliga,2025-2026,14,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3,0
Castrin,Sevilla,La Liga,2025-2026,15,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,4,0
Castrop Jens,Gladbach,Bundesliga,2025-2026,27,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,2,2
Catena,Osasuna,La Liga,2025-2026,27,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,11,1
Cedric Zesiger,Augsburg,Bundesliga,2025-2026,24,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,7,0
Cenk Özkacar,Köln,Bundesliga,2025-2026,26,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2,0
Cenny Neumann,Köln,Bundesliga,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Cesare Casadei,Torino,Serie A,2025-2026,16,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,5,0
Chadi Riad,Crystal Palace,Premier League,2025-2026,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0
Chancel Mbemba,Lille,Ligue 1,2025-2026,8,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3,0
Charalampos Kostoulas,Brighton,Premier League,2025-2026,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,0
Charles De Ketelaere,Atalanta,Serie A,2025-2026,15,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,4,0
Charles Herrmann,Gladbach,Bundesliga,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
